DATE,NAME,ADDRESS,,,CHECK NO.,AMOUNT,EXPLANATION,RECORD DATE
4/27/18,P&M BRICK LLC,2170 RIVER RD,COEYMANS,NY 12045,chk 28315,"$5,500.00 ",,JUL-17-18
4/30/18,HALMAR INTERNATIONAL LLC,421 E ROUTE 59,NANUET,NY 10954,chk 25610,"$10,000.00 ",,JUL-17-18
4/30/18,"HAMPSHIRE MANAGEMENT COMPANY NUMBER 25, LLC",969 MIDLAND AVE,YONKERS,NY 10704,chk 10550,"$15,000.00 ",,JUL-17-18
5/2/18,755 CO-OP CITY LLC,30-56 WHITESTONE EXPRESSWAY,WHITESTONE,NY 11354,chk 284,"$15,000.00 ",,JUL-17-18
5/9/18,BLACK HAWK IMPORTS,"# 101, 111 CAROLYN BLVD",FARMINGDALE,NY 11735,chk 2155,"$1,000.00 ",,JUL-17-18
5/29/18,DOLP 733 PROPERTIES LLC,1155 AVENUE OF THE AMERICAS,NEW YORK,NY 10036,chk 9,"$15,000.00 ",,JUL-17-18
5/29/18,DOLP 1155 PROPERTIES II LLC,"FL 49, 1 BRYANT PARK",NEW YORK,NY 10036,chk 17844,"$20,000.00 ",,JUL-17-18
5/30/18,"M S & B CONSTRUCTION CO, LLC","STE 300, 901 MAIN ST",PEEKSKILL,NY 10566,chk 1515,"$9,900.00 ",,JUL-17-18
5/31/18,LINCOLN PARKWAY APARTMENTS LLC,348 HARRIS HILL RD,WILLIAMSVILLE,NY 14221,chk 27045,"$1,500.00 ",,JUL-17-18
5/31/18,"FRANKLIN STREET ASSOCIATES,",348 HARRIS HILL RD,WILLIAMSVILLE,NY 14221,chk 12374,"$1,500.00 ",,JUL-17-18
5/31/18,"CLOVER COMMUNITIES PARMA, LLC",348 HARRIS HILL RD,WILLIAMSVILLE,NY 14221,chk 0951,"$1,000.00 ",,JUL-17-18
5/31/18,CAMELOT ASSOCIATES LLC,348 HARRIS HILL RD,WILLIAMSVILLE,NY 14221,chk 10769,"$1,000.00 ",,JUL-17-18
5/31/18,MILL STREET LLC,348 HARRIS HILL RD,WILLIAMSVILLE,NY 14221,chk 8808,"$1,500.00 ",,JUL-17-18
5/31/18,"CLOVER COMMUNITIES SALINA, LLC",348 HARRIS HILL RD,WILLIAMSVILLE,NY 14221,chk 2852,"$1,000.00 ",,JUL-17-18
6/2/18,"YANKEE GLOBAL ENTERPRISES, LLC",1 STEINBRENNER DR,TAMPA,FL 33614,chk 2093,"$25,000.00 ",,JUL-17-18
6/2/18,ASGK PUBLIC STRATEGIES LLC,"STE 2400, 222 MERCHANDISE MART PLZ",CHICAGO,IL 60654,chk 9930,"$10,000.00 ",,JUL-17-18
6/5/18,"SIMMONS, HANLY, CONROY LLC",1 COURT ST,ALTON,IL 62002,chk 163181,"$20,000.00 ",,JUL-17-18
6/7/18,"SOUTH BAY REALTY, LLC",1110 ROUTE 109,LINDENHURST,NY 11757,chk 3103,"$2,500.00 ",,JUL-17-18
6/7/18,CUOMO LLC,"SUITE 2 SOUTH, 200 OLD",MINEOLA,NY 11501,Credit Card,"$5,000.00 ",,JUL-17-18
6/8/18,"SEASIDE 3, LLC",692 S WELLWOOD AVE,LINDENHURST,NY 11757,chk 1182,"$5,000.00 ",,JUL-17-18
6/8/18,ROCKAWAY BEACH BOULEVARD CONSTRUCTION CO LLC,"STE 110, 337 OAK ST",GARDEN CITY,NY 11530,chk 1778,"$10,000.00 ",,JUL-17-18
6/8/18,"PARK PLAZA PROPERTIES - MAVCO, LLC",541 CALEDONIA RD,DIX HILLS,NY 11746,chk 3135,"$1,000.00 ",,JUL-17-18
6/8/18,MANHATTAN BEER DISTRIBUTORS LLC,955 E 149TH ST,BRONX,NY 10455,chk 150167,"$25,000.00 ",,JUL-17-18
6/8/18,VINCENT R. PESCE AGENCY LLC,"UNIT 2, 955 MAIN ST",HOLBROOK,NY 11741,chk 6187,"$1,000.00 ",,JUL-17-18
6/8/18,HARRIS BEACH PLLC,99 GARNSEY RD,PITTSFORD,NY 14534,chk 1949,"$10,000.00 ",,JUL-17-18
6/8/18,"CABLEVISION OF MONMOUTH, LLC",1111 STEWART AVE,BETHPAGE,NY 11714,chk 1244018,"$2,500.00 ",,JUL-17-18
6/8/18,"AJM CAPITAL, LLC",PO BOX 234800,GREAT NECK,NY 11023,chk 1156,"$5,000.00 ",,JUL-17-18
6/8/18,"WINTER BROS. WASTE SYSTEMS  OF LONG ISLAND, LLC.",120 NANCY ST,WEST BABYLON,NY 11704,chk 032948,"$25,000.00 ",,JUL-17-18
6/8/18,"HAUGLAND GROUP, LLC",11 COMMERCIAL ST,PLAINVIEW,NY 11803,chk 21733,"$10,000.00 ",,JUL-17-18
6/8/18,STRONG'S MARINE LLC,PO BOX 1409,MATTITUCK,NY 11952,chk 14750,"$2,500.00 ",,JUL-17-18
6/10/18,SK CROWN LLC,"STE 406, 1 LINDEN PL",GREAT NECK,NY 11021,chk 1012,"$5,000.00 ",,JUL-17-18
6/13/18,"TRIAD GROUP, LLC",400 JORDAN RD,TROY,NY 12180,Credit Card,"$10,000.00 ",,JUL-17-18
6/13/18,MCKISSACK CONSTRUCTION GROUP LLC,"FL 20, 1001 AVENUE OF THE AMERICAS",NEW YORK,NY 10018,chk 32101,"$5,000.00 ",,JUL-17-18
6/18/18,READ LAW GROUP PLLC,"STE 901, 666 OLD COUNTRY RD",GARDEN CITY,NY 11530,chk 1482,"$5,000.00 ",,JUL-17-18
6/18/18,GALASSO MATERIALS LLC,60 S MAIN ST,EAST GRANBY,CT 06026,chk 118067,"$15,000.00 ",,JUL-17-18
6/21/18,STREAM LINE CIRCLE LLC,"RM 610, 645 MADISON AVE",NEW YORK,NY 10022,Wire,"$10,000.00 ",,JUL-17-18
6/21/18,WILDER BALTER PARTNERS LLC,480 BEDFORD RD ,CHAPPAQUA,NY 10514,chk 7011,"$5,000.00 ",,JUL-17-18
6/21/18,EAGLE LNG PARTNERS LLC,"STE 250, 20445 STATE HIGHWAY 249",HOUSTON,TX 77070,chk 1097,"$5,000.00 ",,JUL-17-18
6/21/18,WILDER BALTER PARTNERS LLC,480 BEDFORD RD,CHAPPAQUA,NY 10514,chk 7010,"$5,000.00 ",,JUL-17-18
6/26/18,"1121 LINCOLN, LLC",PO BOX 286,PORT JEFFERSON,NY 11777,chk 786,$750.00 ,,JUL-17-18
6/26/18,"2201-2211 FIFTH, LLC",PO BOX 286,PORT JEFFERSON,NY 11777,chk 673,$750.00 ,,JUL-17-18
6/26/18,"917-921 LINCOLN, LLC",PO BOX 286,PORT JEFFERSON,NY 11777,chk 601,$750.00 ,,JUL-17-18
6/26/18,"925-929 LINCOLN, LLC",PO BOX 286,PORT JEFFERSON,NY 11777,chk 627,$750.00 ,,JUL-17-18
6/26/18,GRACE INDUSTRIES LLC,11 COMMERCIAL ST,PLAINVIEW,NY 11803,chk 1184972,"$43,000.00 ",,JUL-17-18
6/26/18,HAUGLAND ENERGY GROUP LLC,11 COMMERCIAL ST,PLAINVIEW,NY 11803,chk 617541,"$43,000.00 ",,JUL-17-18
6/26/18,"HAUGLAND GROUP, LLC",11 COMMERCIAL ST,PLAINVIEW,NY 11803,chk 21764,"$43,000.00 ",,JUL-17-18
6/26/18,"INWOOD MATERIAL TERMINAL, LLC",1 SHERIDAN BLVD,INWOOD,NY 11096,chk 7513,"$5,000.00 ",,JUL-17-18
6/26/18,"MANHATTAN 24 REALTY, LLC",3 AERIAL WAY,SYOSSET,NY 11791,chk 681,"$10,000.00 ",,JUL-17-18
6/28/18,PWV ACQUISITION LLC,"APT 1E, 792 COLUMBUS AVE",NEW YORK,NY 10025,chk 6664,"$15,000.00 ",,JUL-17-18
7/2/18,PRIME STEAKHOUSE AT THE GRIDLEY BUILDING LLC,103 E WATER ST,SYRACUSE,NY 13202,chk 736,"$1,000.00 ",,JUL-17-18
7/2/18,"KIEFFER LANE REALTY, LLC",6 KIEFFER LN,KINGSTON,NY 12401,chk 2217,"$5,000.00 ",,JUL-17-18
7/2/18,US CRANE & RIGGING LLC,6 KIEFFER LN,KINGSTON,NY 12401,chk 1044,"$5,000.00 ",,JUL-17-18
7/5/18,TRIANGLE EQUITIES JUNCTION LLC,3056 WHITESTONE EXPY,FLUSHING,NY 11354,chk 0458,"$25,000.00 ",,JUL-17-18
7/5/18,"INWOOD MATERIAL TERMINAL LLC,",1 SHERIDAN BLVD,INWOOD,NY 11096,chk 7557,"$21,000.00 ",,JUL-17-18
7/6/18,CSC HOLDINGS LLC,1111 STEWART AVE,BETHPAGE,NY 11714,chk 5051975,"$25,000.00 ",,JUL-17-18
7/9/18,"PCW MANAGEMENT CENTER, LLC","STE 3, 7 MASONS ISLAND RD",MYSTIC,CT 06355,Wire,"$25,000.00 ",,JUL-17-18
7/9/18,RECEIVABLE COLLECTION SERVICES INC,170 JERICHO TPKE,FLORAL PARK,NY 11001,chk 1826,"$2,000.00 ",,JUL-17-18
7/10/18,121 INFLIGHT CATERING LLC,45 RASON RD,INWOOD,NY 11096,Credit Card,"$5,000.00 ",,JUL-17-18
7/10/18,FAIRMONT CONSTRUCTION MANAGEMENT LLC,3469 STEENWICK AVE,BRONX,NY 10475,Credit Card,"$20,000.00 ",,JUL-17-18
7/10/18,DNA ARCHITECTS LLC,192 RIVA AVE,MILLTOWN,NJ 08850,Credit Card,"$20,000.00 ",,JUL-17-18
7/10/18,733 BROADWAY LLC,200 S DIVISION ST,BUFFALO,NY 14204,chk 820,"$2,000.00 ",,JUL-17-18
7/11/18,SAPPHIRE HC MANAGEMENT CARE LLC,3008 AVENUE J,BROOKLYN,NY 11210,chk 1480,"$2,500.00 ",,JUL-17-18
7/11/18,"TYTY, LLC",3008 AVENUE J,BROOKLYN,NY 11210,chk 3075,"$2,500.00 ",,JUL-17-18
7/11/18,VESTRACARE LLC,"STE 4, 230 HILTON AVE",HEMPSTEAD,NY 11550,Credit Card,"$10,000.00 ",,JUL-17-18
7/11/18,H&L CONTRACTING LLC,38 HOMAN AVE,BAY SHORE,NY 11706,chk 45191,"$5,000.00 ",,JUL-17-18
7/11/18,NASSAU EVENTS CENTER LLC,"FL 11, 15 METROTECH CTR",BROOKLYN,NY 11201,chk 2069,"$5,000.00 ",,JUL-17-18
7/11/18,"CABLEVISION OF MONMOUTH, LLC",1111 STEWART AVE,BETHPAGE,NY 11714,chk 1244364,"$15,000.00 ",,JUL-17-18
7/11/18,"INTERCOUNTY PAVING ASSOCIATES, LLC",113 MAGNOLIA AVE,WESTBURY,NY 11590,chk 45203,"$5,000.00 ",,JUL-17-18
7/12/18,BE VEST PARTNERS LLC,625 RXR PLZ,UNIONDALE,NY 11556,Wire,"$10,000.00 ",,JUL-17-18
7/12/18,"SARATOGA CASINO HOLDINGS, LLC","PO BOX 356, 342 JEFFERSON ST",SARATOGA SPRINGS,NY 12866,chk 18980,"$10,000.00 ",,JUL-17-18
7/12/18,ADVANCED ORTHOPAEDICS PLLC,"LBBY 5, 8002 KEW GARDENS RD",KEW GARDENS,NY 11415,chk 1694,"$5,000.00 ",,JUL-17-18
7/12/18,CLEARWATER ORGANIC FARMS,205 MCLAUGHLIN RD,ROCHESTER,NY 14606,Credit Card,"$10,000.00 ",,JUL-17-18
7/13/18,WESTERN FUNDING JV LLC,"STE 210, 6 COMMERCE DR",CRANFORD,NJ 07016,chk 700066,"$40,000.00 ",,JUL-17-18
7/13/18,KENSINGTON VANGUARD HOLDINGS LLC,"FL 3, 39 W 37TH ST",NEW YORK,NY 10018,chk 13780,"$5,000.00 ",,JUL-17-18
7/13/18,GRACE INDUSTRIES LLC,11 COMMERCIAL ST,PLAINVIEW,NY 11803,chk 1185237,"$10,000.00 ",,JUL-17-18
7/13/18,"FOXROC, LLC","STE 308, 66 COMMACK RD",COMMACK,NY 11725,chk 1415,"$1,000.00 ",,JUL-17-18
7/13/18,"SEASIDE 3, LLC",692 S WELLWOOD AVE,LINDENHURST,NY 11757,chk 1206,"$5,000.00 ",,JUL-17-18
7/15/18,PEREGRINE WALTON LLC,"FL 6, 217 MONTGOMERY ST",SYRACUSE,NY 13202,chk 5029,$100.00 ,,JUL-17-18
3/21/18,STATE AND LOCAL PAC OF THE INTERNATIONAL ALLIANCE,"FL 4, 207 W 25TH ST",NEW YORK,NY 10001,chk 1012,"$2,500.00 ",,JUL-17-18
3/26/18,DUANE MORRIS GOVERNMENT COMMITTEE - NEW YORK FUND,30 S 17TH ST,PHILADELPHIA,PA 19103,chk 1017,"$1,000.00 ",,JUL-17-18
3/29/18,ASSOCIATION OF TALENT AGENTS NY POLITICAL ACTION C,"STE 930, 9255 W SUNSET BLVD",LOS ANGELES,CA 90069,chk 1038,"$5,000.00 ",,JUL-17-18
4/8/18,LIEUTENANTS BENEVOLENT ASSOCIATION OF THE CITY OF,40 PECK SLIP,NEW YORK,NY 10038,chk 2017,"$1,000.00 ",,JUL-17-18
4/19/18,NEW YORK SELF STORAGE LEADERSHIP PAC,"STE 3, 150 STATE ST",ALBANY,NY 12207,chk 1002,"$5,000.00 ",,JUL-17-18
4/19/18,"HDR, INC PAC - NY",8404 INDIAN HILLS DR,OMAHA,NE 68114,chk 3310140,"$20,000.00 ",,JUL-17-18
4/25/18,NEW YORK BUILDING CONGRESS INC. STATE PAC,"FL 21, 1040 AVENUE OF THE AMERICAS",NEW YORK,NY 10018,chk 1005,"$10,000.00 ",,JUL-17-18
4/30/18,EPEC NY EDUCATION FUND,1125 17TH ST NW,WASHINGTON,DC 20036,chk 1046,"$2,500.00 ",,JUL-17-18
5/9/18,SERGEANTS BENEVOLENT ASSN PORT AUTHORITY OF NY/NJ,PO BOX 1912,FORT LEE,NJ 07024,chk 1109,"$2,500.00 ",,JUL-17-18
5/13/18,PA POLICE DETECTIVE ENDOWMENT ASSOCIATION NY PAC,"JFK STATION, PO BOX 300406",JAMAICA,NY 11430,chk 57,"$2,500.00 ",,JUL-17-18
5/14/18,LOCAL 338 RWDSU/UFCW PAC,1505 KELLUM PL,MINEOLA,NY 11501,chk 3421,$250.00 ,,JUL-17-18
5/28/18,NYSAPLS LAND SURVEYORS PAC,146 WASHINGTON AVE,ALBANY,NY 12210,chk 1005,"$1,500.00 ",,JUL-17-18
5/28/18,AT&T PAC - NEW YORK,"STE 700, 111 WASHINGTON AVE",ALBANY,NY 12210,chk 10036,"$6,100.00 ",,JUL-17-18
5/28/18,AT&T PAC - NEW YORK,"STE 700, 111 WASHINGTON AVE",ALBANY,NY 12210,chk 10035,"$14,000.00 ",,JUL-17-18
5/28/18,"ENTERPRISE HOLDINGS, INC. NEW YORK POLITICAL ACTIO",600 CORPORATE PARK DR,SAINT LOUIS,MO 63105,chk 7732,"$5,000.00 ",,JUL-17-18
6/2/18,BUILDING & CONSTRUCTION TRADES COUNCIL OF NASSAU &,"STE 200, 300 MOTOR PWKY",HAUPPAUGE,NY 11788,chk 1510,$500.00 ,,JUL-17-18
6/5/18,JPMORGAN CHASE & CO. PAC,"FL 7, 601 PENNSYLVANIA AVE NW",WASHINGTON,DC 20004,chk 14580,"$2,500.00 ",,JUL-17-18
6/8/18,NYCAMP,"STE 11, 80 STATE ST",ALBANY,NY 12207,chk 2564,"$1,000.00 ",,JUL-17-18
6/10/18,LONG ISLAND BUILDERS PAC,"STE 8, 1757 VETERANS HWY",ISLANDIA,NY 11749,chk 1674,"$10,000.00 ",,JUL-17-18
6/12/18,LOCAL 338 RWDSU/UFCW PAC,1505 KELLUM PL,MINEOLA,NY 11501,chk 3428,$500.00 ,,JUL-17-18
6/15/18,BRICKLAYERS & ALLIED CRAFTWORKERS LOCAL 1 PAC,4 COURT SQ,LONG ISLAND,NY 11101,chk 1258,"$1,250.00 ",,JUL-17-18
6/15/18,"TILE, MARBLE & TERRAZZO B.A.C. LOCAL UNION  NO. 7",4534 COURT SQ,LONG ISLAND CITY,NY 11101,chk 3746,"$1,250.00 ",,JUL-17-18
6/15/18,BRICKLAYERS AND ALLIED CRAFTWORKERS LOCAL UNION #2,302 CENTRE DR,ALBANY,NY 12203,chk 2602,"$1,250.00 ",,JUL-17-18
6/15/18,NEW YORK STATE HOSPITALITY AND TOURISM ASSOCIATION,80 WOLF RD,ALBANY,NY 12205,chk 605,"$1,000.00 ",,JUL-17-18
6/15/18,JACKSON LEWIS PC POLITICAL ACTION COMMITTEE,"FL 9, 677 BROADWAY",ALBANY,NY 12207,chk 295,"$21,500.00 ",,JUL-17-18
6/15/18,BRICKLAYERS AND ALLIED CRAFTWORKERS LOCAL #3,33 SAGINAW DR,ROCHESTER,NY 14623,chk 2391,"$1,250.00 ",,JUL-17-18
6/18/18,PARTNERSHIP FOR NYC PAC,1 BATTERY PARK PLZ,NEW YORK,NY 10004,chk 1836,"$5,000.00 ",,JUL-17-18
6/19/18,NY ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE,"RM 300, 110 E 40TH ST",NEW YORK,NY 10016,chk 1366,"$5,000.00 ",,JUL-17-18
6/21/18,NEW YORK STATE FARM ASSOCIATES PAC,50 S PROVIDENCE RD,MEDIA,PA 19063,chk 183,"$2,500.00 ",,JUL-17-18
7/5/18,BUILDING INDUSTRY ELECTRICAL CONTRACTORS ASSOCIATI,926 LINCOLN AVE,HOLBROOK,NY 11741,chk 201,"$35,000.00 ",,JUL-17-18
7/5/18,COALITION FOR TICKET FAIRNESS I,"FL 34, 605 3RD AVE",NEW YORK,NY 10158,chk 177,"$5,000.00 ",,JUL-17-18
7/5/18,"GREATER NEW YORK AUTO DEALERS ASSOCIATION, INC","ATTN MARK SCHIENBERG, 1810 WHITESTONE EXPY",WHITESTONE,NY 11357,chk 04518,"$5,000.00 ",,JUL-17-18
7/9/18,LOCAL 338 RWDSU/UFCW PAC,1505 KELLUM PL,MINEOLA,NY 11501,chk 3441,$500.00 ,,JUL-17-18
7/9/18,NRG NY PAC,3919 46TH ST,SUNNYSIDE,NY 11104,chk 1013,"$5,000.00 ",,JUL-17-18
7/10/18,NEW YORK BUILDING CONGRESS INC. STATE PAC,"FL 21, 1040 AVENUE OF THE AMERICAS",NEW YORK,NY 10018,chk 1015,"$3,000.00 ",,JUL-17-18
7/11/18,CORDO & COMPANY LLC PAC ACCOUNT,"STE 2C, 119 WASHINGTON AVE",ALBANY,NY 12210,chk 1053,"$10,000.00 ",,JUL-17-18
7/11/18,NYS LABORERS PAC STATE FUND,18 CORPORATE WOODS BLVD,ALBANY,NY 12211,chk 8609,"$40,000.00 ",,JUL-17-18
7/12/18,EMPIRE STATE PEPSI-COLA INDUSTRY PARTNERS PAC,"STE 501, 111 WASHINGTON AVE",ALBANY,NY 12210,chk 100,"$21,000.00 ",,JUL-17-18
7/13/18,AMTRUST FINANCIAL SERVICES INC. PAC,59 MAIDEN LN,NEW YORK,NY 10038,chk 1042,"$3,000.00 ",,JUL-17-18
1/23/18,NEW YORK BUS OPERATIONS FOR EFFECTIVE GOVERNMENT A,1 STEUBEN PL,ALBANY,NY 12207,chk 1427,"$5,000.00 ",,JUL-17-18
1/23/18,IUPAT POLITICAL ACTION TOGETHER LEGISLATIVE EDUCAT,7234 PARKWAY DR,HANOVER,MD 21076,chk 1672,"$2,500.00 ",,JUL-17-18
3/5/18,WASTE MANAGEMENT OF NEW YORK LLC,"STE 300, 100 BRANDYWINE BLVD",NEWTOWN,PA 18940,chk 13503755,"$10,000.00 ",,JUL-17-18
3/8/18,NYC DISTRICT COUNCIL OF CARPENTERS PAC,"FL 9, 395 HUDSON ST",NEW YORK,NY 10014,chk 468,"$3,600.00 ",,JUL-17-18
3/15/18,NEW YORK CHIROPRACTIC PAC,PO BOX 440,CHESTER,NY 10918,chk 1105,"$6,000.00 ",,JUL-17-18
3/20/18,THE WINE PAC,"STE 936, 60 E 42ND ST",NEW YORK,NY 10165,chk 2241,"$10,000.00 ",,JUL-17-18
3/29/18,MARGARET HARDY TRUST U/A 3/14/91,1019 ROUTE 519,EIGHTY FOUR,PA 15330,chk 7708,"$5,000.00 ",,JUL-17-18
3/29/18,MONUMENT INDUSTRY PAC,"STE 100, 1100 FRANKLIN AVE",GARDEN CITY,NY 11530,chk 1345,"$5,000.00 ",,JUL-17-18
3/29/18,NEW YORK TRUCK PAC,7 CORPORATE DR,CLIFTON PARK,NY 12065,chk 5000,"$5,000.00 ",,JUL-17-18
4/3/18,LOCAL 1500 POLITICAL CANDIDATES AND ED. FUND,425 MERRICK AVE,WESTBURY,NY 11590,chk 192,"$2,500.00 ",,JUL-17-18
4/6/18,"AETNA, INC. PAC",260 S MAIN AVE,ALBANY,NY 12208,chk 478,"$5,000.00 ",,JUL-17-18
4/16/18,LOCAL 94-94A-94B IUOE PAC,"# 337, 331 W 44TH ST",NEW YORK,NY 10036,chk 1934,"$5,000.00 ",,JUL-17-18
4/16/18,LOCAL 32BJ NY/NJ AMERICAN DREAM FUND,"FL 5, 25 W 18TH ST",NEW YORK,NY 10011,chk 6429,"$25,000.00 ",,JUL-17-18
4/17/18,UNIFORMED SANITATIONMEN'S ASSOCIATION LOCAL 931 IB,25 CLIFF ST,NEW YORK,NY 10038,chk 2849,"$10,000.00 ",,JUL-17-18
4/19/18,HOLLAND & KNIGHT COMMITTEE FOR RESPONSIBLE GOVERNM,31 W 52ND ST,NEW YORK,NY 10019,chk 126,"$2,500.00 ",,JUL-17-18
4/19/18,U.A. PLUMBERS & STEAMFITTERS LOCAL UNION #21 PAC,1024 MCKINLEY ST,PEEKSKILL,NY 10566,chk 1016,"$2,500.00 ",,JUL-17-18
4/20/18,NEW YORK STATE PROFESSIONAL FIRE FIGHTERS ASSOCIAT,"STE 306, 174 WASHINGTON AVE",ALBANY,NY 12210,chk 2096,"$2,500.00 ",,JUL-17-18
4/23/18,UNIFORMED FIRE OFFICERS ASSOCIATION - 527 ACCOUNT,"FL 6, 125 MAIDEN LN",NEW YORK,NY 10038,chk 1855,"$5,000.00 ",,JUL-17-18
4/23/18,PLUMBERS LOCAL UNION #1 N.Y.C. PAC,"2ND FLOOR, 50-02 FIFTH STREET",LONG ISLAND CITY,NY 11101,chk 10189,"$5,000.00 ",,JUL-17-18
